status	courseName	sourceName	provider	matchedTitle	id	distanceM	category	query	address
far	남파랑길 25코스	거제자연휴양림	Kakao	거제자연휴양림	8649535	1292	여행 > 관광,명소 > 자연휴양림	경남 거제시 거제자연휴양림	경남 거제시 동부면 거제중앙로 325
far	서해랑길 25코스	연계사	Kakao	연계사	13128878	937	여행 > 관광,명소 > 문화유적 > 사당,제단	연계사	전남 신안군 지도읍 태천리 754
far	해파랑길 26코스	소나무와 해당화 모래밭, 깨끗한 백사장으로 유명한 봉평 해변	Kakao	울진행곡리 처진소나무	12720845	2699	여행 > 관광,명소	경북 울진군 소나무	경북 울진군 근남면 행곡리 672
far	해파랑길 27코스	노천온천으로 알려진 덕구온천	Kakao	덕구온천스파월드	310657506	7893	여행 > 관광,명소 > 온천	경북 울진군 덕구온천	경북 울진군 북면 덕구온천로 924
far	남파랑길 30코스	바닷길인 예쁜 해안도로	Kakao	바닷길	48746022	317602	스포츠,레저 > 수영,수상 > 수상스포츠	바닷길	강원특별자치도 강릉시 가작로 78
far	서해랑길 38코스	영광풍력발전단지	Kakao	영광풍력발전	1009426160	1327	서비스,산업 > 에너지	전남 영광군 영광풍력발전단지	전남 영광군 염산면 봉덕로 221-65
far	해파랑길 4코스	한반도	Kakao	한반도지형 전망대	1119795171	184442	여행 > 관광,명소 > 전망대	한반도	충북 옥천군 안남면 연주리 산 25-12
far	서해랑길 40코스	백제불교문화최초도래지	Kakao	백제불교문화최초도래지 탑원	17577124	1086	여행 > 관광,명소 > 문화유적 > 탑,비석	전남 영광군 백제불교문화최초도래지	전남 영광군 법성면 백제문화로 203
far	서해랑길 41코스	장호어촌체험마을	Kakao	삼척장호어촌체험마을 장호1리체험장	251066321	315915	스포츠,레저 > 수영,수상 > 수상스포츠	장호어촌체험마을	강원특별자치도 삼척시 근덕면 장호리 3-42
far	남파랑길 42코스	길현미술관	Kakao	길현미술관	14614456	27577	문화,예술 > 문화시설 > 미술관	길현미술관	경남 하동군 진교면 사기아름길 62-1
far	해파랑길 42코스	기암절벽과 동해바다가 절경인 사시사철 송죽이 울창한 죽도정	Kakao	수락산 기암절벽	853066049	147535	여행 > 관광,명소	기암절벽	경기 남양주시 별내동 산 205-1
far	해파랑길 44코스	동해바다와 설악산	Kakao	설악산	21764909	12984	여행 > 관광,명소 > 산	강원 양양군 설악산	강원특별자치도 양양군 서면 오색리
far	해파랑길 47코스	강릉 함씨, 강릉 최씨, 용궁 김씨 집성촌으로 14세기부터 형성된 고성 왕곡마을	Kakao	강릉최씨동원군종택	12772270	54460	여행 > 관광,명소 > 문화유적 > 생가,고택	강릉 최씨	강원특별자치도 강릉시 주문진읍 신리천로 192-3
far	해파랑길 47코스	바닷고기와 민물고기가 함께 서식하는 고니를 비롯한 겨울철새 도래지 송지호	Kakao	바닷고기	2113612447	303893	음식점 > 술집 > 일본식주점	바닷고기	전북특별자치도 전주시 완산구 전라감영2길 14
far	서해랑길 48코스	새만금방조제	Kakao	새만금방조제	7936681	21545	여행 > 관광,명소 > 방조제	새만금방조제	전북특별자치도 군산시 비응도동 123
far	해파랑길 5코스	옹기회관, 옹기전시관, 상설판매장 등이 위치한 외고산 옹기마을	Kakao	외고산옹기마을	27096756	1743	여행 > 체험여행 > 정보화,체험마을	울산 울주군 외고산 옹기마을	울산 울주군 온양읍 외고산3길 36
