status	courseName	sourceName	provider	matchedTitle	id	distanceM	category	query	address
none	DMZ 평화의 길 22코스	화천댐 건설 이후 거대한 호수가 된 파로호							
none	DMZ 평화의 길 23코스	남북은 물론, 세계 평화를 기원하는 의미를 담아 조성한 국제평화아트파크							
none	DMZ 평화의 길 25코스	독특한 형태의 암벽과 그 사이로 쏟아지는 물줄기가 절경을 이루는 직연폭포							
none	DMZ 평화의 길 26코스 (예약노선)	국내 최대 열목어 서식지로 알려진 두타연계곡							
none	DMZ 평화의 길 28코스	통일교육장으로 활용하기 위해 건립된 양구 통일관							
none	DMZ 평화의 길 29코스	6.25전쟁 중 양구 지역							
none	DMZ 평화의 길 30-1코스(우회로)	용늪마을자연생태학교							
none	DMZ 평화의 길 30-1코스(우회로)	노무현대통령이 말련							
none	DMZ 평화의 길 30-2코스(우회로)	산봉우리							
none	DMZ 평화의 길 3-1코스(우회로)	가톨릭 교회 통진성당							
none	DMZ 평화의 길 3-1코스(우회로)	대표적인 어장인 전류리포구							
none	DMZ 평화의 길 31코스 	인제와 고성을 잇는 옛 고갯길인 진부령							
none	DMZ 평화의 길 31코스 	아름다운 설경으로 유명한 백두대간 봉우리 마산봉							
none	DMZ 평화의 길 31-1코스(우회로)	고성읍출장사무소 건물을 개조해 만든 진부령미술관							
none	DMZ 평화의 길 32코스	팔려가는 소들이 주막 앞							
none	DMZ 평화의 길 32코스	신라 법흥왕 시대							
none	DMZ 평화의 길 32-1코스(우회로)	팔려가는 소들이 주막 앞							
none	DMZ 평화의 길 32-1코스(우회로)	1930년부터 원상-양양간 동해북부선을 잇던 북천철교							
none	DMZ 평화의 길 32-1코스(우회로)	어항 거진항							
none	DMZ 평화의 길 33코스	신라 법흥왕 시대							
none	DMZ 평화의 길 33코스	자연 호수 화진포							
none	DMZ 평화의 길 33-1코스(우회로)	통일과 평화, 가족의 소중함을 담은 거진등대 해맞이공원							
none	DMZ 평화의 길 4-1코스(지선코스)	임진왜란 3대 대첩 중 하나인 행주대첩이 벌어졌던 행주산성							
none	DMZ 평화의 길 5코스	각종 철새가 겨울을 나는 한강하류 재두루미 도래지							
none	DMZ 평화의 길 7코스	황희가 임진강 하류의 절경을 감상했다는 정자 반구정							
none	DMZ 평화의 길 7코스	슬픔을 달랜 임진각관광지							
none	DMZ 평화의 길 8-1코스(우회로)	임진강가 벼랑 위							
none	DMZ 평화의 길 9코스 	조선시대 대표적인 명의 허준과 부인 안동김씨의 쌍분 무덤인 허준 묘							
