courseName	sourceName
해파랑길 30코스	동해안 유일의 남근숭배 민속이 전해오는 이색적인 해신당공원
남파랑길 31코스	전국 최고의 글램핑, 카라반과 사이트 시설을 갖춘 남산공원 오토캠핑장
남파랑길 31코스	고성읍을 한눈
남파랑길 31코스	한 편은 개울과 한 편은 아름다운 산과 들판을 보며 가을을 느끼며 걷기
해파랑길 31코스	울창한 송림과 바다로 이어지는 맑은 하천이 흐르는 재동소 공원
해파랑길 31코스	덕산해수욕장
남파랑길 32코스	매력적인 해안 경관
남파랑길 33코스	상족암 둘레길
해파랑길 33코스	신라 51대 진성여왕의 셋째 딸 선화공주의 전설이 서린 감추사와 감추해변
남파랑길 34코스	바다가 보이는 찜질방인 남일대 해수월드
해파랑길 34코스	묵호동 산 중턱
해파랑길 34코스	도시적인 카페와 싱싱한 활어 횟집이 조화를 이루는 어달해변
남파랑길 35코스	예쁜 카페 풍경
서해랑길 35코스	함평군억새정원
서해랑길 35코스	함평해수찜마을
서해랑길 35코스	안악해변
해파랑길 35코스 바우길 09구간	절경이 뛰어남
해파랑길 35코스 바우길 09구간	모래시계 촬영지로 유명한 정동진역. 승강장
해파랑길 36코스 바우길 08구간	모래시계 촬영지로 유명한 정동진역. 승강장
남파랑길 37코스	남해 가안리 해안
서해랑길 37코스	바닷바람으로 친환경 에너지를 생산하는 풍력발전기
서해랑길 38코스	영광풍력발전단지
서해랑길 38코스	풍경
서해랑길 39코스	모래미해변
해파랑길 4코스	진하 해변
해파랑길 4코스	갯가로 월출이 아름다운 임랑 해변
해파랑길 4코스	한반도
서해랑길 40코스	백제불교문화최초도래지
해파랑길 40코스 바우길 12구간	군부대가 있던자리를 산책과 공원으로 새롭게 꾸민 사천진리 해변공원
해파랑길 40코스 바우길 12구간	직접 어민들이 바다
해파랑길 40코스 바우길 12구간	아름다운 주문진해변
남파랑길 41코스	천하몽돌해변
서해랑길 41코스	구시포해변
서해랑길 41코스	장호어촌체험마을
해파랑길 41코스	쉬고 또 쉰다는 의미의 휴휴암. 낙산사와 함께 새로운 일출 명소로 떠오름
해파랑길 41코스	하천의 담수와 동해안 바닷물이 만나는 지점
해파랑길 41코스	송림과 깨끗한 백사장으로 사랑받는 양양군 남쪽 끝
해파랑길 41코스	하나 남애항
남파랑길 42코스	길현미술관
남파랑길 42코스	홍현해라우지마을
해파랑길 42코스	기암절벽과 동해바다가 절경인 사시사철 송죽이 울창한 죽도정
해파랑길 42코스	38선 바로 옆
해파랑길 42코스	애국가
서해랑길 43코스	반암교~용선교 일대
해파랑길 43코스	가자미 배낚시, 요트, 투명보트로 유명한 일출 명소 수산항
남파랑길 44코스	장항해변
서해랑길 44코스	줄포만생태갯벌공원
해파랑길 44코스	관동팔경 중 하나로 신라 의상대사가 창건한 낙산사
해파랑길 44코스	동해바다와 설악산
해파랑길 44코스	대표 어항 물치항
남파랑길 45코스	노구마을 보호수
해파랑길 45코스	인근 설악산 척산온천과 함께 속초의 대표적인 명소 속초 해변
해파랑길 45코스	고즈넉한 영랑호
남파랑길 46코스	이충무공전몰유허(이락사)
해파랑길 46코스	울창한 송림과 넓고 깨끗한 백사장으로 가족단위 해수욕
서해랑길 47코스	격포해변
해파랑길 47코스	강릉 함씨, 강릉 최씨, 용궁 김씨 집성촌으로 14세기부터 형성된 고성 왕곡마을
해파랑길 47코스	바닷고기와 민물고기가 함께 서식하는 고니를 비롯한 겨울철새 도래지 송지호
남파랑길 48코스	섬진강 자전거길
남파랑길 48코스	강변 풍경
서해랑길 48코스	변산해변
서해랑길 48코스	새만금방조제
해파랑길 48코스	가진활어회센터
